sys,op,size,timing
Julia,addition,100,6.555975485188968e-8
Numpy,addition,100,7.048320258036256e-7
Julia,multiplication,100,6.560081883316275e-8
Numpy,multiplication,100,6.95524038746953e-7
Julia,division,100,6.738854805725972e-8
Numpy,division,100,7.396489381790161e-7
Julia,3ops,100,6.762372188139059e-8
Numpy,3ops,100,1.2703699758276344e-6
Julia,exp,100,4.1344e-7
Numpy,exp,100,1.3050460256636143e-6
Julia,log,100,5.350370370370371e-7
Numpy,log,100,1.470991992391646e-6
Julia,element_sum,100,6.943e-9
Numpy,element_sum,100,2.243714057840407e-6
Julia,addition,1000,6.653856209150326e-7
Numpy,addition,1000,1.0740659199655057e-6
Julia,multiplication,1000,5.55335260115607e-7
Numpy,multiplication,1000,1.0506620164960623e-6
Julia,division,1000,5.283315508021391e-7
Numpy,division,1000,1.508252928033471e-6
Julia,3ops,1000,5.770058479532164e-7
Numpy,3ops,1000,2.0028160652145745e-6
Julia,exp,1000,3.913625e-6
Numpy,exp,1000,8.224777993746101e-6
Julia,log,1000,5.248333333333333e-6
Numpy,log,1000,9.13749693427235e-6
Julia,element_sum,1000,4.8706477732793524e-8
Numpy,element_sum,1000,2.449546009302139e-6
Julia,addition,10000,5.383666666666667e-6
Numpy,addition,10000,3.3368760487064718e-6
Julia,multiplication,10000,5.276e-6
Numpy,multiplication,10000,2.8394090477377176e-6
Julia,division,10000,4.5755e-6
Numpy,division,10000,6.884174072183669e-6
Julia,3ops,10000,5.290166666666667e-6
Numpy,3ops,10000,6.221742019988597e-6
Julia,exp,10000,3.8243e-5
Numpy,exp,10000,8.193278207909315e-5
Julia,log,10000,5.232e-5
Numpy,log,10000,8.796225895639509e-5
Julia,element_sum,10000,7.108591549295775e-7
Numpy,element_sum,10000,4.203918040730059e-6
Julia,addition,100000,5.3883e-5
Numpy,addition,100000,3.297258308157325e-5
Julia,multiplication,100000,5.3432e-5
Numpy,multiplication,100000,2.7238048030994833e-5
Julia,division,100000,4.9384e-5
Numpy,division,100000,6.597172596957534e-5
Julia,3ops,100000,6.4563e-5
Numpy,3ops,100000,0.00011201739392708988
Julia,exp,100000,0.000385724
Numpy,exp,100000,0.0008287940969457849
Julia,log,100000,0.000532355
Numpy,log,100000,0.0008962958980118856
Julia,element_sum,100000,8.897e-6
Numpy,element_sum,100000,2.3084104992449282e-5
Julia,addition,1000000,0.001184717
Numpy,addition,1000000,0.0013683647220022977
Julia,multiplication,1000000,0.001182072
Numpy,multiplication,1000000,0.00133641951601021
Julia,division,1000000,0.001173435
Numpy,division,1000000,0.001336528773070313
Julia,3ops,1000000,0.001431777
Numpy,3ops,1000000,0.0025363435669569297
Julia,exp,1000000,0.003927111
Numpy,exp,1000000,0.008340723518980667
Julia,log,1000000,0.005398153
Numpy,log,1000000,0.009009638165938668
Julia,element_sum,1000000,0.000362871
Numpy,element_sum,1000000,0.0004466474449727684
